Name	Id
chloroplast Lejeunea cavifolia	65057.chloroplast
Porcine rotavirus strain 344/04-1	397542
mitochondrion Megalaima asiatica	348820.mitochondrion
Mesoplodon bidens	48745
mitochondrion Pycnonotus goavier	374633.mitochondrion
Pseudomonas sp. SY5	106145
mitochondrion Pulex simulans	154009.mitochondrion
Yellow fever virus	31641
mitochondrion Pyrrhura albipectus	311894.mitochondrion
mitochondrion Botryotinia fuckeliana	40559.mitochondrion
mitochondrion Artisornis metopias	405073.mitochondrion
mitochondrion Saguinus bicolor bicolor	37589.mitochondrion
plastid Phaseolus texensis	378488.plastid
plastid Aloe forbesii	117799.plastid
Streptococcus sp. 3137	349731
Enterococcus raffinosus	71452
mitochondrion Varanus melinus	169846.mitochondrion
mitochondrion Hyposcada anchiala ecuadorina	331315.mitochondrion
mitochondrion Hemiechinus auritus	217708.mitochondrion
Clostridium perfringens str. 13	195102
chloroplast Agalinis auriculata	4172.chloroplast
mitochondrion Hormaphis cornu	30177.mitochondrion
mitochondrion Rankinia diemensis	180914.mitochondrion
Penicillium amagasakiense	63559
mitochondrion Nectarinia jugularis	233794.mitochondrion
mitochondrion Megalapteryx didinus	8813.mitochondrion
Anisakis simplex	6269
Bacillus sp. MN-32	198803
Sri Lankan cassava mosaic virus-[Ker4]	341701
chloroplast Primula dryadifolia	175057.chloroplast
Bacillus thuringiensis serovar galleriae	29338
Thecamoeba similis	242545
Porcine parvovirus	73487
mitochondrion Bubo virginianus	56268.mitochondrion
Erwinia amylovora phage Era103	418443
Tomato leaf curl Comoros virus	439421
mitochondrion Zosterops erythropleurus	135981.mitochondrion
Human rhinovirus 30	185901
Human rhinovirus 36	147673
Human rhinovirus 37	147680
Human rhinovirus 34	185905
Human rhinovirus 35	167329
Barley yellow dwarf virus-GPV	373548
Human rhinovirus 38	185906
Human rhinovirus 39	185907
mitochondrion Mustela eversmannii	77149.mitochondrion
plastid Aloe pillansii	210943.plastid
Bean golden yellow mosaic virus-[Puerto Rico]	222448
Sterkiella histriomuscorum	94289
Tomato leaf curl Philippine virus satellite DNA beta	447325
chloroplast Symplocos serrulata	298537.chloroplast
chloroplast Azadirachta indica	124943.chloroplast
Astatotilapia burtoni	8153
chloroplast Euglena longa	3037.chloroplast
chloroplast Chiloscyphus appalachianus	280808.chloroplast
